"longitude","latitude","temperature","ndvi","valid_observations"
-117.224715,32.899026,97.96,0.271,4
-117.257211,32.898722,71.92,0.01,1
-117.256907,32.898722,72.04,0.022,1
-117.256604,32.898722,72.18,0.026,1
-117.2563,32.898722,72.35,-0.003,1
-117.252352,32.898722,88.08,0.233,1
-117.252048,32.898722,88.95,0.251,1
-117.251744,32.898722,89.98,0.491,1
-117.251441,32.898722,90.8,0.681,1
-117.251137,32.898722,91.25,0.71,1
-117.250833,32.898722,91.53,0.736,1
-117.25053,32.898722,91.6,0.708,1
-117.250226,32.898722,91.46,0.683,1
-117.249922,32.898722,91.01,0.685,1
-117.249619,32.898722,90.58,0.628,1
-117.249315,32.898722,90.31,0.574,1
-117.249011,32.898722,89.17,0.567,1
-117.248707,32.898722,87.37,0.537,1
-117.248404,32.898722,86.62,0.509,1
-117.2481,32.898722,86.06,0.46,1
-117.247796,32.898722,85.74,0.492,1
-117.247493,32.898722,85.82,0.561,1
-117.247189,32.898722,86.22,0.62,1
-117.246885,32.898722,86.86,0.639,1
-117.246582,32.898722,87.73,0.571,1
-117.246278,32.898722,88.47,0.553,1
-117.245974,32.898722,88.93,0.642,1
-117.24567,32.898722,89.37,0.721,1
-117.245367,32.898722,89.76,0.72,1
-117.245063,32.898722,89.69,0.638,2
-117.244759,32.898722,90.2,0.584,2
-117.244456,32.898722,91.05,0.641,2
-117.244152,32.898722,92.38,0.583,2
-117.243848,32.898722,94.53,0.357,2
-117.243545,32.898722,96.11,0.236,2
-117.243241,32.898722,96.46,0.254,3
-117.242937,32.898722,96.97,0.208,3
-117.242633,32.898722,97.59,0.2,3
-117.24233,32.898722,97.51,0.334,4
-117.242026,32.898722,97.7,0.357,4
-117.241722,32.898722,97.98,0.241,4
-117.241419,32.898722,98.23,0.13,4
-117.241115,32.898722,98.2,0.122,4
-117.240811,32.898722,97.99,0.22,4
-117.240508,32.898722,97.38,0.322,4
-117.240204,32.898722,96.39,0.179,4
-117.2399,32.898722,94.83,0.18,4
-117.239596,32.898722,93.38,0.295,4
-117.239293,32.898722,92.06,0.408,4
-117.238989,32.898722,90.42,0.461,4
-117.238685,32.898722,88.79,0.484,4
-117.238382,32.898722,87.7,0.497,4
-117.238078,32.898722,87.78,0.526,4
-117.237774,32.898722,88.6,0.524,4
-117.237471,32.898722,89.62,0.431,4
-117.237167,32.898722,90.97,0.345,4
-117.236863,32.898722,91.87,0.354,4
-117.236559,32.898722,92.42,0.385,4
-117.236256,32.898722,92.65,0.43,4
-117.235952,32.898722,92.29,0.356,4
-117.235648,32.898722,92.23,0.371,4
-117.235345,32.898722,92.23,0.426,4
-117.235041,32.898722,92.23,0.494,4
-117.234737,32.898722,91.95,0.367,4
-117.234434,32.898722,91.53,0.366,4
